latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.832,9.358,303.7,1.3,1.1,2019-08-31,01:15,A,57,6.0NRT,285.3,12.3,N
51.365,6.711,303.6,1.6,1.3,2019-08-31,01:15,A,56,6.0NRT,288.4,15.2,N
51.49,6.718,307.1,1.6,1.3,2019-08-31,01:15,A,13,6.0NRT,289.6,15.8,N
51.488,6.724,307.8,1.6,1.3,2019-08-31,01:15,A,72,6.0NRT,289.7,19.3,N
50.868,16.863,311.1,1.1,1,2019-08-31,01:15,A,82,6.0NRT,287.4,13.7,N
50.871,16.848,314.1,1.1,1,2019-08-31,01:15,A,89,6.0NRT,287.4,16.2,N
43.448,4.901,304.4,1.6,1.2,2019-08-31,01:20,A,60,6.0NRT,290.9,13.1,N
45.143,9.942,302.1,1,1,2019-08-31,01:20,A,27,6.0NRT,290.1,4.6,N
45.15,9.957,304,1,1,2019-08-31,01:20,A,56,6.0NRT,291.1,6.1,N
45.152,9.944,319.1,1,1,2019-08-31,01:20,A,98,6.0NRT,291.4,18.3,N
48.199,12.837,302.9,1,1,2019-08-31,01:20,A,52,6.0NRT,287.8,6.6,N
48.275,14.339,321.3,1,1,2019-08-31,01:20,A,100,6.0NRT,290.3,20.2,N
48.284,14.343,304.9,1,1,2019-08-31,01:20,A,62,6.0NRT,290.5,7.1,N
29.677,6.723,305.8,1,1,2019-08-31,01:25,A,5,6.0NRT,282.4,6.5,N
29.116,9.669,319.5,1.2,1.1,2019-08-31,01:25,A,99,6.0NRT,294,20.5,N
29.107,9.667,304.5,1.2,1.1,2019-08-31,01:25,A,60,6.0NRT,294.2,6.5,N
28.735,9.794,329.1,1.2,1.1,2019-08-31,01:25,A,100,6.0NRT,295.2,34.9,N
28.642,7.539,312.7,1,1,2019-08-31,01:25,A,71,6.0NRT,294.5,10.6,N
28.634,7.538,307.1,1,1,2019-08-31,01:25,A,46,6.0NRT,294.6,6.5,N
31.06,8.036,304.8,1,1,2019-08-31,01:25,A,62,6.0NRT,294.3,5.3,N
28.561,7.465,300.7,1,1,2019-08-31,01:25,A,10,6.0NRT,287.7,3.9,N
29.668,6.721,307.1,1,1,2019-08-31,01:25,A,37,6.0NRT,279,8.1,N
29.667,6.731,315.8,1,1,2019-08-31,01:25,A,85,6.0NRT,287.4,14.1,N
5.903,5.581,307.5,1.4,1.2,2019-08-31,01:30,A,72,6.0NRT,289.3,12.7,N
3.465,5.569,312.7,1.6,1.2,2019-08-31,01:30,A,80,6.0NRT,291.9,19.7,N
4.561,7.016,302.9,1.9,1.4,2019-08-31,01:30,A,42,6.0NRT,290.4,12.7,N
5.522,5.949,301.6,1.6,1.2,2019-08-31,01:30,A,43,6.0NRT,290.1,7.2,N
5.524,5.935,300.3,1.6,1.2,2019-08-31,01:30,A,23,6.0NRT,290,5.7,N
5.666,6.517,300.9,1.7,1.3,2019-08-31,01:30,A,29,6.0NRT,289.1,7.6,N
5.639,6.676,301.9,1.8,1.3,2019-08-31,01:30,A,37,6.0NRT,288.7,11.6,N
5.664,6.522,301.3,1.7,1.3,2019-08-31,01:30,A,34,6.0NRT,289.2,9,N
5.957,5.052,311.6,1.3,1.1,2019-08-31,01:30,A,83,6.0NRT,290.1,15.8,N
5.898,5.586,307.7,1.4,1.2,2019-08-31,01:30,A,64,6.0NRT,289.3,11.8,N
5.901,5.594,305.1,1.4,1.2,2019-08-31,01:30,A,63,6.0NRT,288.8,9.8,N
-22.503,-43.488,307.9,1.2,1.1,2019-08-31,01:45,T,73,6.0NRT,291.8,10.4,N
-22.504,-43.482,305.2,1.2,1.1,2019-08-31,01:45,T,36,6.0NRT,291.7,7.6,N
-22.911,-43.736,310.2,1.2,1.1,2019-08-31,01:45,T,79,6.0NRT,293.1,11.7,N
-21.396,-48.477,300.3,1.1,1,2019-08-31,01:45,T,20,6.0NRT,289.9,4.4,N
-26.91,-50.135,312.4,1.5,1.2,2019-08-31,01:45,T,85,6.0NRT,287.7,24.4,N
-26.884,-50.868,301.9,1.7,1.3,2019-08-31,01:45,T,45,6.0NRT,287.9,13.1,N
-25.603,-42.818,317.1,1.2,1.1,2019-08-31,01:45,T,93,6.0NRT,292.2,18.8,N
-25.605,-42.83,310,1.2,1.1,2019-08-31,01:45,T,69,6.0NRT,292.9,11.7,N
-25.547,-42.842,309.8,1.2,1.1,2019-08-31,01:45,T,68,6.0NRT,291.6,11.9,N
-24.158,-48.705,300.8,1.2,1.1,2019-08-31,01:45,T,34,6.0NRT,289.4,6.9,N
-24.269,-51.357,307.5,1.7,1.3,2019-08-31,01:45,T,72,6.0NRT,290.5,18.9,N
-23.675,-47.541,312.7,1,1,2019-08-31,01:45,T,85,6.0NRT,290.2,13.3,N
-23.676,-47.551,318.7,1,1,2019-08-31,01:45,T,97,6.0NRT,289.8,18.9,N
-23.524,-47.431,300.3,1,1,2019-08-31,01:45,T,25,6.0NRT,290.1,4.5,N
-23.635,-48.269,312.6,1.1,1.1,2019-08-31,01:45,T,85,6.0NRT,287.9,15.5,N
-22.913,-43.729,302.7,1.2,1.1,2019-08-31,01:45,T,47,6.0NRT,292,5.5,N
-21.197,-49.07,301.9,1.1,1.1,2019-08-31,01:45,T,45,6.0NRT,290.9,6.3,N
-22.62,-44.902,303.3,1,1,2019-08-31,01:45,T,55,6.0NRT,289.5,7.1,N
-22.692,-46.529,302.9,1,1,2019-08-31,01:45,T,52,6.0NRT,286.4,6.9,N
-20.857,-46.618,300.6,1,1,2019-08-31,01:45,T,30,6.0NRT,287.5,5,N
-21.192,-49.054,306.1,1.1,1.1,2019-08-31,01:45,T,67,6.0NRT,290.4,9.5,N
-21.193,-49.065,329.1,1.1,1.1,2019-08-31,01:45,T,100,6.0NRT,291.9,34.9,N
-20.8,-47.853,311.1,1,1,2019-08-31,01:45,T,82,6.0NRT,290.6,11.5,N
-20.802,-47.863,334.6,1,1,2019-08-31,01:45,T,100,6.0NRT,292.3,37.4,N
-20.793,-47.864,311.9,1,1,2019-08-31,01:45,T,84,6.0NRT,289.9,12.1,N
-20.521,-46.388,304.8,1,1,2019-08-31,01:45,T,62,6.0NRT,288.6,7.6,N
-20.786,-48.908,315.3,1.1,1.1,2019-08-31,01:45,T,91,6.0NRT,289.3,17.4,N
-20.885,-50.249,301.5,1.3,1.1,2019-08-31,01:45,T,41,6.0NRT,289.5,7.3,N
-20.876,-50.243,300.8,1.3,1.1,2019-08-31,01:45,T,34,6.0NRT,289.2,6.6,N
-20.878,-50.256,320,1.3,1.1,2019-08-31,01:45,T,100,6.0NRT,290.3,27.1,N
-20.188,-46.315,303.9,1,1,2019-08-31,01:45,T,58,6.0NRT,287.3,7.6,N
-20.682,-50.754,323,1.4,1.2,2019-08-31,01:45,T,100,6.0NRT,291.2,33.4,N
-20.501,-50.422,318.1,1.3,1.1,2019-08-31,01:45,T,96,6.0NRT,286.7,26,N
-22.693,-46.539,312.3,1,1,2019-08-31,01:45,T,84,6.0NRT,286.7,13.2,N
-22.25,-44.008,314.4,1.1,1.1,2019-08-31,01:45,T,89,6.0NRT,289.8,16.9,N
-22.24,-44.01,320.1,1.1,1.1,2019-08-31,01:45,T,100,6.0NRT,289.7,22.9,N
-22.242,-44.021,316.5,1.1,1.1,2019-08-31,01:45,T,93,6.0NRT,288.9,18.9,N
-23.164,-51.778,316,1.8,1.3,2019-08-31,01:45,T,92,6.0NRT,289.8,32.3,N
-23.152,-51.78,308.9,1.8,1.3,2019-08-31,01:45,T,76,6.0NRT,290,20.8,N
-23.154,-51.797,301,1.8,1.3,2019-08-31,01:45,T,37,6.0NRT,289.1,9.9,N
-21.196,-49.059,310.3,1.1,1.1,2019-08-31,01:45,T,80,6.0NRT,290.7,12.6,N
-22.089,-55.169,308.8,3,1.6,2019-08-31,01:45,T,76,6.0NRT,290.6,46.4,N
-21.39,-48.474,306.2,1.1,1,2019-08-31,01:45,T,67,6.0NRT,289.8,9,N
-23.157,-51.784,328.6,1.8,1.3,2019-08-31,01:45,T,100,6.0NRT,290.5,63.8,N
-21.613,-42.804,301.3,1.3,1.1,2019-08-31,01:45,T,40,6.0NRT,288.2,8.7,N
-22.236,-48.52,303.2,1.1,1,2019-08-31,01:45,T,54,6.0NRT,289.3,6.7,N
